mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_37,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.440217,0.598131,0.435185,0.487805,0.475610,0.481013,0.387097,0.419753,0.419753,0.420455,0.421488,0.407080,0.436975,0.428571,0.428571,0.428571,0.422018,0.422018,0.422018,0.422018
mutation_39,passing,0.191771,0.364486,0.203704,0.231707,0.207317,0.151899,0.150538,0.185185,0.185185,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_40,passing,0.192905,0.373832,0.203704,0.243902,0.207317,0.151899,0.150538,0.185185,0.185185,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_41,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.731529,0.953271,0.953704,0.939024,0.878049,0.898734,0.892473,0.604938,0.604938,0.602273,0.619835,0.646018,0.655462,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_43,passing,0.977006,0.866071,0.875000,0.963855,0.939759,0.950000,0.968421,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_45,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.986059,0.990654,0.981481,0.975610,0.975610,0.949367,0.989247,0.987654,0.987654,0.988636,0.991736,0.991150,0.991597,0.990476,0.990476,0.990476,0.990826,0.990826,0.990826,0.990826
mutation_49,passing,0.189239,0.364486,0.203704,0.231707,0.207317,0.139241,0.139785,0.172840,0.172840,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_50,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_51,passing,0.993500,0.981308,0.981481,0.975610,0.963415,0.974684,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_52,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_53,passing,0.948860,0.869159,0.870370,0.939759,0.903614,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_54,passing,0.867601,0.972222,0.972477,0.963855,0.892857,0.900000,0.894737,0.765432,0.765432,0.704545,0.785124,0.859649,0.848739,0.877358,0.877358,0.877358,0.881818,0.881818,0.881818,0.881818
mutation_56,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_57,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_61,passing,0.966934,0.972222,0.972477,0.963855,0.963855,0.962500,0.957447,0.951220,0.951220,0.955056,0.967213,0.973684,0.975000,0.971698,0.971698,0.971698,0.972727,0.972727,0.972727,0.972727
